Licence plate,VIN,Make,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated
K-642-DJ,W1K2938901F016544,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,11/26/2024,NL,EV,Found
G-419-VT,WBY8P610X07F50573,BMW,i3,i3s (120Ah),,,12/17/2024,NL,EV,Found
G418VT,WBY8P210407F37312,BMW,i3,i3 (120Ah) 5d,,,17-12-2024,NL,EV,Found
x,KNACC81GFL5043227,KIA,E-Niro,x,,,30.09.2024 00:00:00,Germany,EV,Found
x,KNAC381BFN5004426,KIA,EV6,x,,,07.11.2024 00:00:00,Germany,EV,Found
K-660-DJ,W1K2938901F016451,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,11/29/2024,NL,EV,Found
K-447-FS,W1K2938901F017998,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,12/3/2024,NL,EV,Found
K-361-KR,W1K2938901F020390,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,12/29/2024,NL,EV,Found
K-582-JD,W1K2938901F015348,Mercedes-Benz,EQC,EQC 400 4MATIC AMG,,397,12/30/2024,NL,EV,Found
J473XV,W1K2938901F016217,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution 5d,,404,01-11-2024,NL,EV,Found
J293ZB,W1K2938901F016162,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution 5d,,404,10-11-2024,NL,EV,Found
J993ZF,W1K2938901F016196,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution 5d,,404,27-11-2024,NL,EV,Found
H693PH,W1K2938901F006183,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,27-03-2024,NL,EV,Found
H696PH,W1K2938901F005839,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,03-04-2024,NL,EV,Found
J211RX,W1K2938901F006679,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,08-04-2024,NL,EV,Found
H896VK,W1K2938901F006553,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,05-06-2024,NL,EV,Found
ZL572R,WDD2938901F001085,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,11-06-2024,NL,EV,Found
H715NH,W1K2938901F005626,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,17-09-2024,NL,EV,Found
N465KX,KNAC481AFN5009791,KIA,EV6,77.4kWh GT-Line RWD 5d,77.4,,08-11-2024,NL,EV,Not Found
J251GK,VR3UHZKXZLT074232,PEUGEOT,208,GT EV 50kWh 136 5d,50,,21-08-2024,NL,EV,Found
J126KF,VXKUHZKXZL4324589,Opel,Corsa-e,100kW Edition 5d,,,26-08-2024,NL,EV,Not Found
J803PD,W1K2938901F007443,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,25-09-2024,NL,EV,Found
J-389-PH,W1K2938901F011636,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury,,406,9/27/2024,NL,EV,Found
x,KNAC481AFN5009315,KIA,EV6,x,,,09.11.2024 00:00:00,Germany,EV,Found
G395RX,WDD2938901F002726,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,01-11-2024,NL,EV,Not Found
G022TX,WDD2938901F002791,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,04-11-2024,NL,EV,Found
J517XK,W1K2938901F016045,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,11-11-2024,NL,EV,Found
K849FZ,W1K2938901F016430,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,14-12-2024,NL,EV,Found
H680PN,W1K2938901F005654,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,15-12-2024,NL,EV,Found
K-228-GX,W1K2938901F020182,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury,,406,12/16/2024,NL,EV,Found
K-330-JH,W1K2938901F020641,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury,,406,12/30/2024,NL,EV,Found
H-425-HD,W1K2938901F004037,Mercedes-Benz,EQC,EQC 400 4MATIC,,406,6/5/2024,NL,EV,Found
x,KNAC481CPN5004891,KIA,EV6,x,,,16.11.2024 00:00:00,Germany,EV,Found
G-186-GH,WDD2938901F001550,Mercedes-Benz,EQC,EQC 400 4MATIC,,406,11/15/2024,NL,EV,Found
x,KNAC481AFN5010246,KIA,EV6,x,,,21.11.2024 00:00:00,Germany,EV,Not Found
N-669-HT,W1N2437011J021025,Mercedes-Benz,EQA,250 Business Solution Luxury auto,66.5,419,5/16/2024,NL,EV,Found
x,KNAC381CPN5009669,KIA,EV6,x,,,24.11.2024 00:00:00,Germany,EV,Found
L860PZ,W1N2437011J011326,Mercedes-Benz,EQA,250 Business Solution AMG auto 5d,66.5,419,13-07-2024,NL,EV,Found
x,W1N2437011J020672,MERCEDES-BENZ,EQA,x,66.5,,26.10.2024 00:00:00,Germany,EV,Found
G149XN,WBY8P210X07F46600,BMW,i3,i3 (120Ah) 5d,,,20-12-2024,NL,EV,Found
N169NF,KNAC381AFN5007593,KIA,EV6,77.4kWh EV6 Plus RWD 5d Onze Deal,77.4,,25-11-2024,NL,EV,Not Found
x,KNAC481CPN5007381,KIA,EV6,x,,,06.12.2024 00:00:00,Germany,EV,Found
x,KNAC481CPN5015586,KIA,EV6,x,,,14.12.2024 00:00:00,Germany,EV,Found
N063PT,KNAC481AFN5012181,KIA,EV6,77.4kWh GT-Line RWD 5d Onze Deal,77.4,,17-12-2024,NL,EV,Found
x,KNAC381AFN5005052,KIA,EV6,x,,,22.12.2024 00:00:00,Germany,EV,Found
