VIN,Licence plate, ,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated,Ownership ,Fleet,Start Date
VR1UJZKXZLW018492,J501TK,DS,DS 3 Crossback,E-TENSE 50 kWh Business Auto 5d,50,,22-10-2024,NL,EV,activated,Ayvens,1,10/22/2020
VR3UKZKXZLJ818323,J633TL,Peugeot,2008,Allure EV 50kWh 136 5d,50,,22-10-2024,NL,EV,activated,Ayvens,1,10/22/2020
VR3UKZKXZLJ805904,J684RX,Peugeot,2008,GT EV 50kWh 136 5d,50,,22-10-2024,NL,EV,activated,Ayvens,1,10/21/2020
VXKUHZKXZM4302376,x,OPEL,Corsa-e,x,,,24.10.2024 00:00:00,Germany,EV,activated,Ayvens,1,10/24/2024
VR3UKZKXZLJ812294,J716TT,Peugeot,2008,GT EV 50kWh 136 5d,50,,26-10-2024,NL,EV,activated,Ayvens,1,10/26/2020
VR3UHZKXZLT101735,J441SV,PEUGEOT,208,GT EV 50kWh 136 5d,50,,26-10-2024,NL,EV,activated,Ayvens,1,10/23/2020
VR3UKZKXZLJ834143,J492TK,Peugeot,2008,GT EV 50kWh 136 5d,50,,27-10-2024,NL,EV,activated,Ayvens,1,10/27/2020
VR3UKZKXZLJ834113,J452RT,Peugeot,2008,GT EV 50kWh 136 5d,50,,29-10-2024,NL,EV,pending,Ayvens,1,10/29/2020
VR3UKZKXZLJ867133,J874XB,Peugeot,2008,Allure EV 50kWh 136 5d,50,,30-10-2024,NL,EV,activated,Ayvens,1,10/30/2020
VR3UKZKXZLJ841744,J348XD,Peugeot,2008,GT EV 50kWh 136 5d,50,,31-10-2024,NL,EV,pending,Ayvens,1,10/30/2020
VR3UHZKXZLT115248,J818XB,PEUGEOT,208,GT EV 50kWh 136 5d,50,,31-10-2024,NL,OLD,activated,Ayvens,1,10/30/2020
W0VF86E08K4136831,G805KH,Opel,Ampera-e,150kW Business Executive 5d,50,,01-11-2024,NL,EV,never activated,Ayvens,1,11/1/2019
VXKUHZKXZL4384445,J093XX,Opel,Corsa-e,100kW Elegance 11kW 3 fase 5d,,,01-11-2024,NL,EV,activated,Ayvens,1,11/21/2020
VR3UKZKXZLJ834054,K760BG,Peugeot,2008,"GT Première EV 50kWh 136 7,4kW 5d",50,,01-11-2024,NL,EV,activated,Ayvens,1,11/30/2020
